*������� ���������� 	AM1[10]
28,5600000000001	0,0587435656572772
28,6800000000001	0,0588284539304134
28,8000000000001	0,0589133422035886
28,9200000000001	0,0589982304770231
29,0400000000001	0,0590831187501841
29,1600000000001	0,0591680070237537
29,2800000000001	0,0592528952973552
29,4000000000001	0,0593377835706299
29,5200000000001	0,0594226718441107
29,6400000000001	0,0595075601177832
29,7600000000001	0,0595924483911823
29,8800000000001	0,0596773366649863
30,0000000000001	0,0597622249387726
30,1200000000001	0,0598471132122782
30,2400000000001	0,0599320014861959
30,3600000000001	0,0600168897597975
30,4800000000001	0,0601017780334914
30,6000000000001	0,0601866663075654
30,7200000000001	0,0602715545811847
30,8400000000001	0,0603564428552446
30,9600000000001	0,0604413311290202
31,0800000000001	0,0605262194032683
31,2000000000001	0,0606111076773281
31,3200000000001	0,0606959959513773
31,4400000000001	0,0607808842252418
31,5600000000001	0,0608657724994401
31,6800000000001	0,0609506607737273
31,8000000000001	0,0610355490477517
31,9200000000001	0,0611204373219039
32,0400000000001	0,0612053255963083
32,1600000000001	0,0612902138707199
32,2800000000001	0,0613751021451208
32,4000000000001	0,0614599904195501
32,5200000000001	0,0615448786937733
32,6400000000001	0,0616297669685721
32,7600000000001	0,0617146552430867
32,8800000000001	0,0617995435174663
33,0000000000001	0,0618844317920519
33,1200000000001	0,0619693200668365
33,2400000000001	0,0620542083413866
33,3600000000001	0,0621390966161002
33,4800000000001	0,0622239848908279
33,6000000000001	0,0623088731654207
33,7200000000001	0,0623937614405676
33,84	0,0624786497150609
33,96	0,0625635379901297
34,08	0,0626484262650209
34,2	0,0627333145400115
34,32	0,062818202815123
34,44	0,0629030910899502
34,56	0,0629879793649053
34,68	0,0630728676403294
34,8	0,0631577559153271
34,92	0,0632426441903604
35,04	0,063327532465614
35,16	0,0634124207409244
35,28	0,0634973090162063
35,4	0,0635821972916659
35,52	0,0636670855672747
35,64	0,063751973842507
35,76	0,0638368621180163
35,88	0,0639217503932983
36	0,0640066386688858
36,12	0,0640915269443028
36,24	0,0641764152199258
36,36	0,064261303495627
36,48	0,06434619177125
36,6	0,0644310800469441
36,72	0,0645159683227448
36,84	0,0646008565984815
36,96	0,0646857448745024
37,08	0,0647706331501254
37,2	0,0648555214261748
37,32	0,0649404097020181
37,44	0,0650252979780532
37,56	0,0651101862538255
37,68	0,0651950745299672
37,8	0,0652799628060308
37,92	0,0653648510820446
38,04	0,0654497393581934
38,16	0,0655346276343636
38,2799999999999	0,0656195159108606
38,3999999999999	0,0657044041871302
38,5199999999999	0,0657892924634424
38,6399999999999	0,0658741807395131
38,7599999999999	0,0659590690156548
38,8799999999999	0,0660439572924218
38,9999999999999	0,0661288455687554
39,1199999999999	0,0662137338453093
39,2399999999999	0,066298622121586
39,3599999999999	0,0663835103983814
39,4799999999999	0,0664683986749992
39,5999999999999	0,0665532869515957
39,7199999999999	0,0666381752282064
39,8399999999999	0,0667230635049592
39,9599999999999	0,0668079517815414
40,0799999999999	0,0668928400584008
40,1999999999999	0,0669777283354023
40,3199999999999	0,0670626166119419
40,4399999999999	0,0671475048891637
40,5599999999999	0,0672323931660657
40,6799999999999	0,0673172814431382
40,7999999999999	0,0674021697198057
40,9199999999999	0,0674870579967362
41,0399999999999	0,0675719462740361
41,1599999999999	0,0676568345510091
41,2799999999999	0,067741722828238
41,3999999999999	0,0678266111054384
41,5199999999999	0,0679114993826317
41,6399999999999	0,0679963876597611
41,7599999999999	0,0680812759372458
41,8799999999999	0,0681661642146452
41,9999999999999	0,0682510524920019
42,1199999999999	0,06833594076938
42,2399999999999	0,0684208290468646
42,3599999999999	0,0685057173243777
42,4799999999999	0,0685906056016776
42,5999999999999	0,0686754938794749
42,7199999999999	0,0687603821572225
42,8399999999999	0,0688452704347782
42,9599999999999	0,0689301587124689
43,0799999999998	0,0690150469900956
43,1999999999998	0,0690999352677508
43,3199999999998	0,0691848235456547
43,4399999999998	0,0692697118233951
43,5599999999998	0,0693546001013345
43,6799999999998	0,0694394883792668
43,7999999999998	0,0695243766570357
43,9199999999998	0,069609264935103
44,0399999999998	0,0696941532131703
44,1599999999998	0,0697790414910315
44,2799999999998	0,0698639297691273
44,3999999999998	0,0699488180473295
44,5199999999998	0,0700337063254537
44,6399999999998	0,0701185946034357
44,7599999999998	0,0702034828820999
44,8799999999998	0,0702883711603235
44,9999999999998	0,0703732594386253
45,1199999999998	0,0704581477169484
45,2399999999998	0,0705430359952075
45,3599999999998	0,0706279242733814
45,4799999999998	0,0707128125520242
45,5999999999998	0,070797700830397
45,7199999999998	0,0708825891091322
45,8399999999998	0,0709674773875122
45,9599999999998	0,0710523656662687
46,0799999999998	0,0711372539449187
46,1999999999998	0,0712221422235615
46,3199999999998	0,0713070305022256
46,4399999999998	0,0713919187808756
46,5599999999998	0,0714768070597955
46,6799999999998	0,0715616953387652
46,7999999999998	0,0716465836174791
46,9199999999998	0,0717314718966477
47,0399999999998	0,0718163601753972
47,1599999999998	0,0719012484541679
47,2799999999998	0,0719861367336279
47,3999999999998	0,0720710250123489
47,5199999999998	0,0721559132912901
47,6399999999998	0,0722408015704943
47,7599999999998	0,0723256898497624
47,8799999999997	0,0724105781291868
47,9999999999997	0,0724954664081423
48,1199999999997	0,0725803546876307
48,2399999999997	0,072665242966778
48,3599999999997	0,0727501312460817
48,4799999999997	0,0728350195253498
48,5999999999997	0,0729199078047031
48,7199999999997	0,0730047960843549
48,8399999999997	0,073089684363616
48,9599999999997	0,0731745726434099
49,0799999999997	0,0732594609230048
49,1999999999997	0,0733443492025856
49,3199999999997	0,0734292374821308
49,4399999999997	0,07351412576147
49,5599999999997	0,0735990140418608
49,6799999999997	0,073683902321342
49,7999999999997	0,0737687906009441
49,9199999999997	0,0738536788807949
50,0399999999997	0,073938567160738
50,1599999999997	0,0740234554406243
50,2799999999997	0,0741083437207735
50,3999999999997	0,0741932320008374
50,5199999999997	0,0742781202804963
50,6399999999997	0,0743630085611002
50,7599999999997	0,0744478968408089
50,8799999999997	0,0745327851204678
50,9999999999997	0,0746176734012351
51,1199999999997	0,0747025616815265
51,2399999999997	0,0747874499615833
51,3599999999997	0,0748723382414127
51,4799999999997	0,0749572265219314
51,5999999999997	0,0750421148027272
51,7199999999997	0,0751270030827484
51,8399999999997	0,0752118913634092
51,9599999999997	0,0752967796438355
52,0799999999997	0,0753816679238994
52,1999999999997	0,0754665562046455
52,3199999999997	0,0755514444850291
52,4399999999996	0,0756363327656118
52,5599999999996	0,0757212210465639
52,6799999999996	0,0758061093275586
52,7999999999996	0,0758909976079494
52,9199999999996	0,0759758858888091
53,0399999999996	0,0760607741690862
53,1599999999996	0,0761456624505641
53,2799999999996	0,0762305507313741
53,3999999999996	0,0763154390120562
53,5199999999996	0,0764003272929656
53,6399999999996	0,0764852155735838
53,7599999999996	0,0765701038551754
53,8799999999996	0,0766549921362696
53,9999999999996	0,0767398804171719
54,1199999999996	0,0768247686984296
54,2399999999996	0,0769096569793319
54,3599999999996	0,0769945452610159
54,4799999999996	0,0770794335423872
54,5999999999996	0,0771643218231191
54,7199999999996	0,0772492101046041
54,8399999999996	0,0773340983859327
54,9599999999996	0,0774189866671051
55,0799999999996	0,0775038749485759
55,1999999999996	0,0775887632303665
55,3199999999996	0,0776736515115104
55,4399999999996	0,0777585397928675
55,5599999999996	0,0778434280748215
55,6799999999996	0,0779283163565978
55,7999999999996	0,0780132046381397
55,9199999999996	0,0780980929199657
56,0399999999996	0,0781829812017278
56,1599999999996	0,0782678694834544
56,2799999999996	0,0783527577646694
56,3999999999996	0,0784376460470639
56,5199999999996	0,0785225343286768
