*¬ходное напр€жение 	AM1[3]
0,691819999999995	2,25864191196729E-5
0,692065999999995	2,27563766878249E-5
0,692311999999995	2,29275490278533E-5
0,692557999999995	2,30999434271214E-5
0,692803999999994	2,32735671940449E-5
0,693049999999994	2,34484276574186E-5
0,693295999999994	2,36245321665069E-5
0,693541999999994	2,38018880905803E-5
0,693787999999994	2,39805028183866E-5
0,694033999999994	2,41603837584958E-5
0,694279999999994	2,4341538338202E-5
0,694525999999994	2,45239740037295E-5
0,694771999999994	2,47076982196898E-5
0,695017999999994	2,4892718468865E-5
0,695263999999994	2,50790422519204E-5
0,695509999999994	2,52666770867501E-5
0,695755999999994	2,54556305084746E-5
0,696001999999994	2,56459100690094E-5
0,696247999999994	2,58375233367107E-5
0,696493999999994	2,60304778957159E-5
0,696739999999994	2,62247813461279E-5
0,696985999999994	2,64204413031972E-5
0,697231999999994	2,66174653972725E-5
0,697477999999994	2,68158612730521E-5
0,697723999999994	2,70156365895037E-5
0,697969999999994	2,72167990193835E-5
0,698215999999994	2,74193562486841E-5
0,698461999999994	2,7623315976701E-5
0,698707999999994	2,78286859149814E-5
0,698953999999994	2,80354737873985E-5
0,699199999999994	2,8243687329538E-5
0,699445999999994	2,84533342882735E-5
0,699691999999994	2,8664422421461E-5
0,699937999999994	2,88769594974649E-5
0,700183999999994	2,9090953294516E-5
0,700429999999994	2,93064116005365E-5
0,700675999999993	2,95233422126681E-5
0,700921999999993	2,97417529366942E-5
0,701167999999993	2,99616515866839E-5
0,701413999999993	3,01830459844084E-5
0,701659999999993	3,04059439590646E-5
0,701905999999993	3,0630353346709E-5
0,702151999999993	3,08562819897696E-5
0,702397999999993	3,10837377365983E-5
0,702643999999993	3,13127284408591E-5
0,702889999999993	3,15432619614844E-5
0,703135999999993	3,17753461616145E-5
0,703381999999993	3,20089889082731E-5
0,703627999999993	3,22441980721492E-5
0,703873999999993	3,24809815268956E-5
0,704119999999993	3,27193471485928E-5
0,704365999999993	3,29593028151552E-5
0,704611999999993	3,3200856406301E-5
0,704857999999993	3,34440158021759E-5
0,705103999999993	3,36887888837834E-5
0,705349999999993	3,3935183531748E-5
0,705595999999993	3,41832076260763E-5
0,705841999999993	3,44328690456603E-5
0,706087999999993	3,46841756677134E-5
0,706333999999993	3,49371353672164E-5
0,706579999999993	3,51917560162628E-5
0,706825999999993	3,54480454837787E-5
0,707071999999993	3,57060116346068E-5
0,707317999999993	3,59656623292744E-5
0,707563999999993	3,62270054234076E-5
0,707809999999993	3,64900487670717E-5
0,708055999999993	3,67548002042366E-5
0,708301999999993	3,70212675720901E-5
0,708547999999993	3,72894587009309E-5
0,708793999999992	3,75593814128572E-5
0,709039999999992	3,78310435221159E-5
0,709285999999992	3,81044528336659E-5
0,709531999999992	3,83796171431591E-5
0,709777999999992	3,86565442363025E-5
0,710023999999992	3,89352418879392E-5
0,710269999999992	3,92157178619604E-5
0,710515999999992	3,94979799102775E-5
0,710761999999992	3,97820357726291E-5
0,711007999999992	4,00678931757366E-5
0,711253999999992	4,03555598327564E-5
0,711499999999992	4,06450434429246E-5
0,711745999999992	4,09363516906275E-5
0,711991999999992	4,12294922451431E-5
0,712237999999992	4,15244727598967E-5
0,712483999999992	4,18213008716961E-5
0,712729999999992	4,21199842005701E-5
0,712975999999992	4,24205303488692E-5
0,713221999999992	4,27229469008352E-5
0,713467999999992	4,30272414217412E-5
0,713713999999992	4,33334214577754E-5
0,713959999999992	4,3641494535031E-5
0,714205999999992	4,39514681589378E-5
0,714451999999992	4,42633498143278E-5
0,714697999999992	4,45771469637679E-5
0,714943999999992	4,48928670478828E-5
0,715189999999992	4,52105174843724E-5
0,715435999999992	4,55301056675936E-5
0,715681999999992	4,58516389676429E-5
0,715927999999992	4,61751247302927E-5
0,716173999999992	4,65005702759178E-5
0,716419999999992	4,68279828994359E-5
0,716665999999991	4,71573698693163E-5
0,716911999999991	4,74887384268602E-5
0,717157999999991	4,7822095786261E-5
0,717403999999991	4,81574491335775E-5
0,717649999999991	4,84948056264779E-5
0,717895999999991	4,88341723930399E-5
0,718141999999991	4,91755565319271E-5
0,718387999999991	4,95189651113554E-5
0,718633999999991	4,98644051689261E-5
0,718879999999991	5,02118837108343E-5
0,719125999999991	5,05614077109682E-5
0,719371999999991	5,09129841112213E-5
0,719617999999991	5,12666198201851E-5
0,719863999999991	5,16223217129131E-5
0,720109999999991	5,19800966304591E-5
0,720355999999991	5,23399513790595E-5
0,720601999999991	5,27018927302281E-5
0,720847999999991	5,30659274190696E-5
0,721093999999991	5,34320621451295E-5
0,721339999999991	5,38003035708747E-5
0,721585999999991	5,41706583216674E-5
0,721831999999991	5,45431329852337E-5
0,722077999999991	5,49177341105445E-5
0,722323999999991	5,5294468208544E-5
0,722569999999991	5,56733417504426E-5
0,722815999999991	5,60543611679537E-5
0,723061999999991	5,64375328522516E-5
0,723307999999991	5,68228631542445E-5
0,723553999999991	5,72103583833571E-5
0,723799999999991	5,76000248075398E-5
0,724045999999991	5,79918686525968E-5
0,724291999999991	5,83858961019069E-5
0,724537999999991	5,87821132953549E-5
0,72478399999999	5,91805263299024E-5
0,72502999999999	5,95811412584225E-5
0,72527599999999	5,99839640897251E-5
0,72552199999999	6,03890007870361E-5
0,72576799999999	6,07962572695697E-5
0,72601399999999	6,12057394101953E-5
0,72625999999999	6,1617453035617E-5
0,72650599999999	6,20314039267078E-5
0,72675199999999	6,24475978174394E-5
0,72699799999999	6,28660403942645E-5
0,72724399999999	6,32867372962504E-5
0,72748999999999	6,37096941146791E-5
0,72773599999999	6,41349163922015E-5
0,72798199999999	6,45624096231219E-5
0,72822799999999	6,49921792524268E-5
0,72847399999999	6,54242306757894E-5
0,72871999999999	6,58585692393822E-5
0,72896599999999	6,62952002392406E-5
